,Exchanges,id,Cash Ratio,Current Ratio,TT Liabilities on Equity,TT Liabilities on Asset,ST Liabilities on TT Liabilities,ST Liabilities on Equity,ST Liabilities on Asset,TT Debt on TT Liabilities,TT Debt on Equity,TT Debt on Asset,ST Debt on TT Liabilities,ST Debt on ST Liabilities,ST Debt on TT Debt,ST Debt on Equity,ST Debt on Asset,ROE,ROA,Gross Profit Margin,EBITDA Margin,Operating Profit Margin,Income Aft Tax Margin,Asset Turnover Ratio,Inflation,GDP,Industry,Industry_year
26,HOSE,SJD_2017,0.2078092254665191,8.125394138,0.3103866852118234,0.2368664827830188,0.2172344008020557,0.0674266655789267,0.0514555484574595,0.746738666449705,0.2317777393988214,0.1768773614800234,0.0,0.0,0.0,0.0,0.0,0.1792656131995296,0.1368035979170159,57.730166909,65.802092755,44.716277793,39.678088681,0.347689878,4.4,281.35,tienIch,tienIch_2017
27,HOSE,PGC_2017,0.0517601795496326,1.116666689,1.9714857571630573,0.6634680150894681,0.8924511217474124,1.7594546754892173,0.5921127743101249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1829789909705232,0.0615782830290292,21.363841487,7.707239702,6.081618065,5.106209678,1.380426144,4.4,281.35,tienIch,tienIch_2017
28,HOSE,UIC_2017,0.0465517794171941,1.47440012,0.7237956717698113,0.4198848411231328,0.9121956098214576,0.6602432341961946,0.383017108703102,0.0833035190486526,0.0602947265306088,0.0349778848607413,0.0,0.0,0.0,0.0,0.0,0.2354261698095245,0.1365742899028246,3.068438896,3.085436845,3.198467621,2.638983843,5.331196532,4.4,281.35,tienIch,tienIch_2017
30,HOSE,ASP_2017,0.0828844074907591,0.7187955,2.193717784605751,0.6868852956199932,0.8084219419032306,1.7734495914186343,0.5552931445498895,0.1506855938753894,0.3305616671683213,0.1035037186947711,0.0,0.0,0.0,0.0,0.0,0.104643913656268,0.0327655480896493,21.408124799,4.595641071,2.029233349,2.311600873,1.726458879,4.4,281.35,tienIch,tienIch_2017
31,HNX,HJS_2017,0.0204217687639472,1.072456845,0.6231286363933548,0.3839058854743436,0.3213424859207612,0.2002377050670547,0.1233652715979366,0.6324015305233293,0.3940675033680726,0.2427826695508888,0.0,0.0,0.0,0.0,0.0,0.1633680550696349,0.1006500972299054,48.032090947,59.287423606,33.537677948,28.293139879,0.349136826,4.4,281.35,tienIch,tienIch_2017
32,HOSE,TBC_2017,0.572982031509636,16.018625674,0.0306971188274686,0.0297828705123286,1.0,0.0306971188274686,0.0297828705123286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1932005210723391,0.1874464549703272,63.611199096,65.136144698,59.389766306,48.554973054,0.387858559,4.4,281.35,tienIch,tienIch_2017
33,HNX,PVG_2017,0.0505928115638063,0.733722365,2.6837121497923846,0.7285347064763569,0.913168883273256,2.450682426852781,0.6652752243388241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334013189678663,0.0090672988576886,14.160090472,2.063186024,0.379512706,0.37152181,2.569204006,4.4,281.35,tienIch,tienIch_2017
36,HNX,NBP_2017,0.1301588170527892,2.947279586,0.445706286988982,0.308296568266684,1.0,0.445706286988982,0.308296568266684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138723972905725,0.0959558481260837,12.530638449,6.942384357,6.74854934,5.386308835,1.822628498,4.4,281.35,tienIch,tienIch_2017
37,HOSE,BTP_2017,0.0010916638881077,1.743035783,1.6521083697005956,0.6229415014014329,0.7334575836267262,1.2117514127300888,0.4569011683586998,0.2665424163732737,0.4403569569705066,0.166040333042733,0.0,0.0,0.0,0.0,0.0,0.082162375444145,0.0309800219262611,5.062095797,4.724370733,4.414862205,3.770575932,1.022343012,4.4,281.35,tienIch,tienIch_2017
38,HOSE,PGD_2017,0.2246629378177554,1.418821941,1.0909166600249562,0.5217408617385714,0.9997137251178838,1.090604357986709,0.521591500434882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1474523058860802,0.0705204127477373,10.784798405,5.242582214,3.794194881,3.075344539,2.345853744,4.4,281.35,tienIch,tienIch_2017
